intent,arm,held_out,n_cells,n_policies,fa_per_hour_mean,mcc_mean,genuine_delay_mean_s
balanced_operation,compiler-only|card,False,9,9,0.005300998342907918,0.3705592395571182,12.026
balanced_operation,compiler-only|card,True,36,36,0.0053009983429079185,0.3705592395571181,11.169500000000001
balanced_operation,reviewer|card,False,9,9,0.005300998342907918,0.3705592395571182,12.026
balanced_operation,reviewer|card,True,36,36,0.0053009983429079185,0.3705592395571181,11.169500000000001
balanced_operation,reviewer|card|no-critique,False,9,9,0.005300998342907918,0.3705592395571182,12.026
balanced_operation,reviewer|card|no-critique,True,36,36,0.0053009983429079185,0.3705592395571181,11.169500000000001
balanced_operation,reviewer|no-card,False,9,8,0.0006626448541651206,0.2497103683153487,
balanced_operation,reviewer|no-card,True,36,35,0.0,0.24971036831534868,
defend_unknown_attacks,compiler-only|card,False,9,9,7.686447597216481,0.11589477578375071,251.9025
defend_unknown_attacks,compiler-only|card,True,36,36,7.994347250967051,0.11451526700063819,242.08133333333333
defend_unknown_attacks,reviewer|card,False,9,9,7.686447597216481,0.11589477578375071,251.9025
defend_unknown_attacks,reviewer|card,True,36,36,7.994347250967051,0.11451526700063819,242.08133333333333
defend_unknown_attacks,reviewer|card|no-critique,False,9,9,7.686447597216481,0.11589477578375071,251.9025
defend_unknown_attacks,reviewer|card|no-critique,True,36,36,7.994347250967051,0.11451526700063819,242.08133333333333
defend_unknown_attacks,reviewer|no-card,False,9,9,14.013298912751875,0.05498909670019661,17.921444444444447
defend_unknown_attacks,reviewer|no-card,True,36,36,15.853565979549993,0.050087270617559645,17.228611111111107
early_attack_detection,compiler-only|card,False,9,9,17.270652601193998,0.1957467410684893,8.015
early_attack_detection,compiler-only|card,True,36,36,16.010781995029546,0.17798647725061226,8.014999999999999
early_attack_detection,reviewer|card,False,9,9,17.270652601193998,0.1957467410684893,8.015
early_attack_detection,reviewer|card,True,36,35,17.270652601193998,0.19574674106848927,8.014999999999999
early_attack_detection,reviewer|card|no-critique,False,9,9,17.270652601193998,0.1957467410684893,8.015
early_attack_detection,reviewer|card|no-critique,True,36,33,16.92705152678551,0.19090303275452283,8.015
early_attack_detection,reviewer|no-card,False,9,7,28.339137141185724,0.19314115087525388,5.642000000000001
early_attack_detection,reviewer|no-card,True,36,31,24.88134722209085,0.19174498486006605,5.878354838709677
minimize_false_alarms,compiler-only|card,False,9,9,0.0005889998158786575,0.3524955703532894,30.297111111111114
minimize_false_alarms,compiler-only|card,True,36,36,0.0016197494936663083,0.3576566186972404,28.298805555555557
minimize_false_alarms,reviewer|card,False,9,9,0.0005889998158786575,0.3524955703532894,30.297111111111114
minimize_false_alarms,reviewer|card,True,36,35,0.001968942241651512,0.35923311816154424,27.915457142857143
minimize_false_alarms,reviewer|card|no-critique,False,9,9,0.0005889998158786575,0.3524955703532894,30.297111111111114
minimize_false_alarms,reviewer|card|no-critique,True,36,35,0.0016660280506282028,0.3579515357454661,28.209085714285717
minimize_false_alarms,reviewer|no-card,False,9,9,0.00647939029644153,0.16280647317385685,
minimize_false_alarms,reviewer|no-card,True,36,30,0.004594455355641047,0.17929810806950977,26.295
