intent,arm,held_out,n_cells,n_policies,fa_per_hour_mean,mcc_mean,genuine_delay_mean_s
balanced_operation,compiler-only|card,False,9,6,0.005300998342907918,0.3705592395571182,13.453000000000001
balanced_operation,compiler-only|card,True,36,35,0.004846627056372954,0.3633373063236277,13.6135625
balanced_operation,reviewer|card,False,9,6,0.005300998342907918,0.3705592395571182,12.596666666666666
balanced_operation,reviewer|card,True,36,32,0.0048040297482603005,0.362660250082988,12.83289655172414
balanced_operation,reviewer|card|no-critique,False,9,4,0.005300998342907918,0.3705592395571182,12.1685
balanced_operation,reviewer|card|no-critique,True,36,25,0.005088958409191601,0.367189004048156,13.452999999999998
balanced_operation,reviewer|no-card,False,9,6,0.028272847111045146,0.2801519129611987,26.295
balanced_operation,reviewer|no-card,True,36,15,0.0003534105888880643,0.28630335183306277,
defend_unknown_attacks,compiler-only|card,False,9,9,7.686447597216481,0.11589477578375071,251.9025
defend_unknown_attacks,compiler-only|card,True,36,36,7.5676484751823585,0.11897334864579873,243.8200416666667
defend_unknown_attacks,reviewer|card,False,9,9,7.686447597216481,0.11589477578375071,251.9025
defend_unknown_attacks,reviewer|card,True,36,34,7.560660291533293,0.11915444116709564,243.34460294117642
defend_unknown_attacks,reviewer|card|no-critique,False,9,9,7.686447597216481,0.11589477578375071,251.9025
defend_unknown_attacks,reviewer|card|no-critique,True,36,34,7.560660291533293,0.11915444116709564,243.34460294117642
defend_unknown_attacks,reviewer|no-card,False,9,9,14.62236311524366,0.09584123410271579,125.43516666666667
defend_unknown_attacks,reviewer|no-card,True,36,32,14.429423021872584,0.11018336194606088,151.49175
early_attack_detection,compiler-only|card,False,9,9,17.270652601193998,0.1957467410684893,8.015
early_attack_detection,compiler-only|card,True,36,36,12.954314700481227,0.23944986569064655,8.73225
early_attack_detection,reviewer|card,False,9,8,4.32163889905568,0.32685611493496103,10.16675
early_attack_detection,reviewer|card,True,36,31,7.245609735022397,0.29725077244898346,9.680870967741937
early_attack_detection,reviewer|card|no-critique,False,9,8,17.270652601193998,0.1957467410684893,8.015
early_attack_detection,reviewer|card|no-critique,True,36,10,3.4583713189131258,0.3355967398593925,10.3102
early_attack_detection,reviewer|no-card,False,9,8,18.654213168692962,0.19542104229433488,7.718375
early_attack_detection,reviewer|no-card,True,36,29,19.442793134388065,0.20732255440728645,7.641333333333332
minimize_false_alarms,compiler-only|card,False,9,9,0.005301069671980383,0.333112178346427,21.162
minimize_false_alarms,compiler-only|card,True,36,33,0.004337204779108455,0.35796416355055893,22.8135
minimize_false_alarms,reviewer|card,False,9,9,0.004712052023833609,0.3188076401005876,21.162
minimize_false_alarms,reviewer|card,True,36,16,0.004307071184263498,0.3600272535916113,21.52885714285714
minimize_false_alarms,reviewer|card|no-critique,False,9,9,0.005301051839712267,0.3424739436490998,21.162000000000003
minimize_false_alarms,reviewer|card|no-critique,True,36,13,0.004485472481723088,0.36407801742449863,22.87483333333333
minimize_false_alarms,reviewer|no-card,False,9,9,2.401425539994878,0.19416317290035728,223.542
minimize_false_alarms,reviewer|no-card,True,36,19,1.7583106825046695,0.11096910733802517,150.3169
